+-----+------------+------------------------------------------------------------------+-------------------------------------------+----------+
| ID  |    CODE    |                               NAME                               |                  COURSE                   | SEMESTER |
| 443 | 24MJBCA5P3 | Data Structures and Algorithms Lab                               | BCA - Bachelor of Computer Applications   | 5        |
| 372 | 24CMLGEN1L | Basic English                                                    | BCOM - Bachelor of Commerce               | 1        |
| 374 | 24CMLGHN1L | Gadya Chayan Aur Vanijya Patrachar (Hindi)                       | BCOM - Bachelor of Commerce               | 1        |
| 375 | 24CMLGKA1L | ವಾಣಿಜ್ಯ ಸೌರಭ (Kannada)                                           | BCOM - Bachelor of Commerce               | 1        |
| 368 | 24COMGC101 | Management Principles and Applications                           | BCOM - Bachelor of Commerce               | 1        |
| 369 | 24COMGC102 | Business Analysis and Market Dynamics                            | BCOM - Bachelor of Commerce               | 1        |
| 370 | 24COMGC103 | Financial Accounting                                             | BCOM - Bachelor of Commerce               | 1        |
| 371 | 24COMGC104 | Quantitative Techniques – I                                      | BCOM - Bachelor of Commerce               | 1        |
| 373 | 24ESCOMM1L | Environmental Science                                            | BCOM - Bachelor of Commerce               | 1        |
| 376 | 24CMLGEN3L | Basic English                                                    | BCOM - Bachelor of Commerce               | 3        |
| 382 | 24CMLGHN3L | Hindi                                                            | BCOM - Bachelor of Commerce               | 3        |
| 383 | 24CMLGKA3L | ವಾಣಿಜ್ಯ ಸೌರಭ - 2 (Kannada)                                       | BCOM - Bachelor of Commerce               | 3        |
| 377 | 24COMGC309 | Corporate Administration                                         | BCOM - Bachelor of Commerce               | 3        |
| 378 | 24COMGC310 | Marketing Management                                             | BCOM - Bachelor of Commerce               | 3        |
| 379 | 24COMGC311 | Corporate Accounting                                             | BCOM - Bachelor of Commerce               | 3        |
| 380 | 24COMGC312 | Cost Accounting                                                  | BCOM - Bachelor of Commerce               | 3        |
| 381 | 24COMGS301 | Accounting Software Tally                                        | BCOM - Bachelor of Commerce               | 3        |
| 452 | 24CMLGEN5L | Basic English                                                    | BCOM - Bachelor of Commerce               | 5        |
| 454 | 24CMLGHN5L | Hindi                                                            | BCOM - Bachelor of Commerce               | 5        |
| 455 | 24CMLGKA5L | ವಾಣಿಜ್ಯ ಸೌರಭ - 3 (Kannada)                                       | BCOM - Bachelor of Commerce               | 5        |
| 456 | 24COMGC5L1 | Advanced Financial Accounting                                    | BCOM - Bachelor of Commerce               | 5        |
| 457 | 24COMGC5L2 | Taxation                                                         | BCOM - Bachelor of Commerce               | 5        |
| 458 | 24COMGC5L3 | Cost Management                                                  | BCOM - Bachelor of Commerce               | 5        |
